file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
25305F7A.CAD,3808,910d43a0521d,25305F7,INITIALE RELEASE,117,117,0,3260,0,41,125,18,6,3,5,5,4,1,33,0,58,52,7,7,0,true,4,1
25305F8A.CAD,5453,276643918bc3,25305F8,INITIALE RELEASE,148,148,0,4520,0,57,164,38,14,3,9,9,8,1,48,0,46,97,22,22,0,true,3,1
25305F9A.CAD,1500,ac9510e70efa,25305F9,INITIALE RELEASE,42,42,0,1172,0,1,42,4,0,1,1,1,1,0,1,0,35,7,1,1,0,true,1,1
25305G1A.CAD,5749,72469f09f3c4,25305G1,INITIALE RELEASE,182,182,0,5254,0,70,206,32,2,3,13,13,11,2,51,0,95,44,12,12,0,true,4,1
25305G2A.CAD,4867,b6c0b73ff4e2,25305G2,INITIALE RELEASE,153,153,0,4398,0,57,175,29,1,3,12,12,11,1,48,0,73,39,10,10,0,true,3,1
25305G3A.CAD,4905,02ddb1aec205,25305G3,INITIALE RELEASE,154,154,0,4436,0,57,176,29,1,3,12,12,11,1,48,0,74,39,10,10,0,true,3,1
25305G4A.CAD,5584,42a851c4543b,25305G4,DEVICE DRIVER DISPLAY TYPE,174,174,0,5122,0,49,196,28,1,3,12,12,11,1,49,0,94,39,10,10,0,true,2,1
25305G5A.CAD,5805,ee254b71950b,25305G5,DEVICE DRIVER DISPLAY TYPE,181,181,0,5324,0,56,203,28,1,3,12,12,11,1,48,0,102,40,10,10,0,true,3,1
25305G6A.CAD,5869,e55c86b93737,25305G6,DEVICE DRIVER DISPLAY TYPE,184,184,0,5396,0,56,206,28,1,3,12,12,11,1,48,0,105,39,10,10,0,true,3,1
25305G7A.CAD,5911,9096c76a89dc,25305G7,DEVICE DRIVER DISPLAY TYPE,184,184,0,5400,0,56,206,28,1,3,12,12,11,1,48,0,105,39,10,10,0,true,3,1
25305G8A.CAD,5767,ce94dcc005a9,25305G8,DEVICE DRIVER DISPLAY TYPE,179,179,0,5286,0,56,201,28,1,3,12,12,11,1,48,0,100,40,10,10,0,true,3,1
25305G9A.CAD,5691,a5a8e11ea20b,25305G9,DEVICE DRIVER DISPLAY TYPE,177,177,0,5232,0,55,199,27,1,3,12,12,11,1,47,0,100,37,9,9,0,true,3,1
25305H0A.CAD,5691,d11a46254400,25305H0,DEVICE DRIVER DISPLAY TYPE,177,177,0,5232,0,55,199,27,1,3,12,12,11,1,47,0,100,37,9,9,0,true,3,1
